90Deg 	 _20180413_105125_ 	 Reg 1 
Time (Sec), East Wave Probe (m), West Wave Probe (m),WaveProbe_A(m),WaveProbe_B(m),WaveProbe_C(m),StringPot_1(m),StringPot_2(m),LoadCell (N)
12321.000000, 8.096627E-5, -2.730946E-4, -2.469552E-5, 6.331980E-4, 1.048186E-4, -2.202221E-6, 2.367388E-5, 8.023929E-3
12544.000000, 1.495555E-5, -2.072226E-4, 8.371363E-7, 3.812805E-4, -2.820421E-5, 1.541555E-5, -5.230276E-5, -5.937427E-3
12769.000000, 1.495555E-5, -2.072226E-4, -4.185682E-7, 3.157479E-4, 3.157188E-5, 1.035044E-4, -6.496554E-5, -6.987680E-3
12996.000000, -7.048019E-6, -1.852652E-4, -3.976398E-5, 3.038329E-4, -2.609942E-5, 1.326838E-4, -1.959977E-4, -3.472835E-3
13225.000000, -7.048019E-6, -3.389667E-4, -5.232102E-5, 1.587250E-4, 7.493059E-5, -4.624665E-5, 1.211222E-5, -2.044491E-3
13456.000000, -7.048019E-6, -3.389667E-4, -6.948232E-5, 5.051115E-4, -1.439678E-4, -4.184221E-5, -3.633666E-5, -2.240539E-3
13689.000000, 1.495555E-5, -2.730946E-4, -8.120223E-5, 1.485122E-4, -3.245589E-4, -5.505553E-7, 4.074110E-5, -7.057697E-3
13924.000000, 1.495555E-5, -1.633078E-4, -5.483243E-5, 4.757495E-4, -1.826959E-4, 2.367388E-5, -3.138166E-5, 6.063458E-3
14161.000000, 1.495555E-5, -1.633078E-4, -1.741244E-4, 4.293661E-4, -9.303180E-5, 3.138166E-5, -3.853888E-6, -2.758663E-3
14400.000000, -5.105516E-5, -1.852652E-4, -6.404093E-5, 2.663857E-4, 4.420063E-5, 2.917944E-5, 2.202222E-6, 5.727377E-3
14641.000000, -5.105516E-5, -1.852652E-4, -1.385461E-4, 1.974488E-4, -9.682043E-5, 9.194275E-5, -6.001054E-5, -6.483559E-3
14884.000000, -7.305874E-5, -2.950520E-4, -5.190245E-5, 4.166000E-4, -1.431259E-4, 2.972999E-5, -1.486500E-4, -1.372330E-3
15129.000000, -7.048019E-6, -2.950520E-4, -5.232102E-5, 4.080893E-4, -1.822750E-4, -3.303332E-6, -5.670721E-5, 9.466276E-3
15376.000000, -7.048019E-6, -2.950520E-4, -4.939104E-5, 6.331980E-4, -2.045858E-4, 2.752777E-6, -9.414497E-5, 1.302313E-2
